year,player_id,player_name,Nationality,Speciality,base_price_in_usd,team,cost_usd,sold_price,sold_price_in_cr,base_price,base_price_in_cr
2008,33335,Suresh Raina,India,Batsman,125000,Chennai Super Kings,650000,26000000,2.6,5000000,0.5
2008,35565,Manoj Tiwary,India,Batsman,100000,Delhi Daredevils,675000,27000000,2.7,4000000,0.4
2008,50431,Chamara Silva,Sri Lanka,Batsman,100000,Deccan Chargers,100000,4000000,0.4,4000000,0.4
2008,5766,David Hussey,Australia,Batsman,100000,Kolkata Knight Riders,625000,25000000,2.5,4000000,0.4
2008,4185,Nathan Bracken,Australia,Bowler,225000,Royal Challengers Bangalore,325000,13000000,1.3,9000000,0.9
2008,35280,R P Singh,India,Bowler,200000,Deccan Chargers,875000,35000000,3.5,8000000,0.8
2008,30049,Murali Kartik,India,Bowler,200000,Kolkata Knight Riders,425000,17000000,1.7,8000000,0.8
2008,46592,Makhaya Ntini,South Africa,Bowler,200000,Chennai Super Kings,200000,8000000,0.8,8000000,0.8
2008,49758,Lasith Malinga,Sri Lanka,Bowler,200000,Mumbai Indians,350000,14000000,1.4,8000000,0.8
2008,50804,Chaminda Vaas,Sri Lanka,Bowler,200000,Deccan Chargers,200000,8000000,0.8,8000000,0.8
2008,32391,Ramesh Powar,India,Bowler,150000,Kings XI Punjab,170000,6800000,0.68,6000000,0.6
2008,43524,Umar Gul,Pakistan,Bowler,150000,Kolkata Knight Riders,150000,6000000,0.6,6000000,0.6
2008,47492,Dale Steyn,South Africa,Bowler,150000,Royal Challengers Bangalore,325000,13000000,1.3,6000000,0.6
2008,48835,Dilhara Fernando,Sri Lanka,Bowler,150000,Mumbai Indians,150000,6000000,0.6,6000000,0.6
2008,236779,Ishant Sharma,India,Bowler,150000,Kolkata Knight Riders,950000,38000000,3.8,6000000,0.6
2008,32966,Piyush Chawla,India,Bowler,125000,Kings XI Punjab,400000,16000000,1.6,5000000,0.5
2008,32965,Munaf Patel,India,Bowler,100000,Rajasthan Royals,275000,11000000,1.1,4000000,0.4
2008,51050,Nuwan Zoysa,Sri Lanka,Bowler,100000,Deccan Chargers,110000,4400000,0.44,4000000,0.4
