team,purse_spent,purse_left,players_bought,overseas_buys,player_id,player_name,player_fullname,birthdate,type,base_price,sold_price,sold_price_in_cr,status,transferred,overseas
Chennai Super Kings,1199500000,500000,25/25,8-Jul,1440190,C Andre Siddarth,C Andre Siddarth,8/28/2006,BATTER,3000000,3000000,0.3,New,FALSE,FALSE
Chennai Super Kings,1199500000,500000,25/25,8-Jul,1339053,RS Ghosh,Ramakrishna Ghosh,8/28/1997,ALL_ROUNDER,3000000,3000000,0.3,New,FALSE,FALSE
Chennai Super Kings,1199500000,500000,25/25,8-Jul,1292497,SK Rasheed,Shaik Rasheed,9/24/2004,BATTER,3000000,3000000,0.3,New,FALSE,FALSE
Chennai Super Kings,1199500000,500000,25/25,8-Jul,1125688,Mukesh Choudhary,Mukesh Choudhary,7/6/1996,BOWLER,3000000,3000000,0.3,New,FALSE,FALSE
Chennai Super Kings,1199500000,500000,25/25,8-Jul,1070188,KL Nagarkoti,Kamlesh Nagarkoti,12/28/1999,ALL_ROUNDER,3000000,3000000,0.3,New,FALSE,FALSE
Chennai Super Kings,1199500000,500000,25/25,8-Jul,344580,S Gopal,Shreyas Gopal,9/4/1993,BOWLER,3000000,3000000,0.3,New,FALSE,FALSE
Delhi Capitals,1198000000,2000000,23/25,8-Jul,554691,AR Patel,Axar Patel,1/20/1994,ALL_ROUNDER,0,165000000,16.5,Retained,FALSE,FALSE
Delhi Capitals,1198000000,2000000,23/25,8-Jul,422108,KL Rahul,KL Rahul,4/18/1992,BATTER,20000000,140000000,14,New,FALSE,FALSE
Delhi Capitals,1198000000,2000000,23/25,8-Jul,559235,Kuldeep Yadav,Kuldeep Yadav,12/14/1994,BOWLER,0,132500000,13.25,Retained,FALSE,FALSE
Delhi Capitals,1198000000,2000000,23/25,8-Jul,311592,MA Starc,Mitchell Starc,1/30/1990,BOWLER,20000000,117500000,11.75,New,FALSE,TRUE
Delhi Capitals,1198000000,2000000,23/25,8-Jul,802575,T Natarajan,T Natarajan,4/4/1991,BOWLER,20000000,107500000,10.75,New,FALSE,FALSE
Delhi Capitals,1198000000,2000000,23/25,8-Jul,595978,T Stubbs,Tristan Stubbs,8/14/2000,BATTER,0,100000000,10,Retained,FALSE,TRUE
Delhi Capitals,1198000000,2000000,23/25,8-Jul,1168049,J Fraser-McGurk,Jake Fraser-McGurk,4/11/2002,BATTER,20000000,90000000,9,RTM,FALSE,TRUE
Delhi Capitals,1198000000,2000000,23/25,8-Jul,926851,Mukesh Kumar,Mukesh Kumar,10/12/1993,BOWLER,20000000,80000000,8,RTM,FALSE,FALSE
Delhi Capitals,1198000000,2000000,23/25,8-Jul,911707,HC Brook,Harry Brook,2/22/1999,BATTER,20000000,62500000,6.25,New,FALSE,TRUE
Delhi Capitals,1198000000,2000000,23/25,8-Jul,1277545,Abishek Porel,Abishek Porel,10/17/2002,BATTER,0,40000000,4,Retained,FALSE,FALSE
Delhi Capitals,1198000000,2000000,23/25,8-Jul,1131978,AR Sharma,Ashutosh Sharma,9/15/1998,ALL_ROUNDER,3000000,38000000,3.8,New,FALSE,FALSE
Delhi Capitals,1198000000,2000000,23/25,8-Jul,537119,MM Sharma,Mohit Sharma,9/18/1988,BOWLER,5000000,22000000,2.2,New,FALSE,FALSE
Delhi Capitals,1198000000,2000000,23/25,8-Jul,44828,F du Plessis,Faf du Plessis,7/13/1984,BATTER,20000000,20000000,2,New,FALSE,TRUE
Delhi Capitals,1198000000,2000000,23/25,8-Jul,1175489,Sameer Rizvi,Sameer Rizvi,12/6/2003,ALL_ROUNDER,3000000,9500000,0.95,New,FALSE,FALSE
Delhi Capitals,1198000000,2000000,23/25,8-Jul,698315,D Ferreira,Donovan Ferreira,7/21/1998,BATTER,7500000,7500000,0.75,New,FALSE,TRUE
Delhi Capitals,1198000000,2000000,23/25,8-Jul,552152,PVD Chameera,Dushmantha Chameera,1/11/1992,BOWLER,7500000,7500000,0.75,New,FALSE,TRUE
Delhi Capitals,1198000000,2000000,23/25,8-Jul,1449074,V Nigam,Vipraj Nigam,7/28/2004,ALL_ROUNDER,3000000,5000000,0.5,New,FALSE,FALSE
Delhi Capitals,1198000000,2000000,23/25,8-Jul,398439,KK Nair,Karun Nair,12/6/1991,BATTER,3000000,5000000,0.5,New,FALSE,FALSE
Delhi Capitals,1198000000,2000000,23/25,8-Jul,1460385,M Tiwari,Madhav Tiwari,9/28/2003,ALL_ROUNDER,3000000,4000000,0.4,New,FALSE,FALSE
Delhi Capitals,1198000000,2000000,23/25,8-Jul,1392186,L Manvanth Kumar,Manvanth Kumar,1/11/2004,ALL_ROUNDER,3000000,3000000,0.3,New,FALSE,FALSE
Delhi Capitals,1198000000,2000000,23/25,8-Jul,1292527,T Vijay,Tripurana Vijay,9/5/2001,ALL_ROUNDER,3000000,3000000,0.3,New,FALSE,FALSE
Delhi Capitals,1198000000,2000000,23/25,8-Jul,1111917,DG Nalkande,Darshan Nalkande,10/4/1998,ALL_ROUNDER,3000000,3000000,0.3,New,FALSE,FALSE
Delhi Capitals,1198000000,2000000,23/25,8-Jul,1059570,AJ Mandal,Ajay Mandal,2/25/1996,ALL_ROUNDER,3000000,3000000,0.3,New,FALSE,FALSE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,793463,Rashid Khan,Rashid Khan,9/20/1998,BOWLER,0,180000000,18,Retained,FALSE,TRUE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,1070173,Shubman Gill,Shubman Gill,9/8/1999,BATTER,0,165000000,16.5,Retained,FALSE,FALSE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,308967,JC Buttler,Jos Buttler,9/8/1990,BATTER,20000000,157500000,15.75,New,FALSE,TRUE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,940973,Mohammed Siraj,Mohammed Siraj,3/13/1994,BOWLER,20000000,122500000,12.25,New,FALSE,FALSE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,550215,K Rabada,Kagiso Rabada,5/25/1995,BOWLER,20000000,107500000,10.75,New,FALSE,TRUE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,917159,M Prasidh Krishna,Prasidh Krishna,2/19/1996,BOWLER,20000000,95000000,9.5,New,FALSE,FALSE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,1151288,B Sai Sudharsan,Sai Sudharsan,10/15/2001,ALL_ROUNDER,0,85000000,8.5,Retained,FALSE,FALSE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,719719,M Shahrukh Khan,M Shahrukh Khan,5/27/1995,ALL_ROUNDER,0,40000000,4,Retained,FALSE,FALSE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,423838,R Tewatia,Rahul Tewatia,5/20/1993,ALL_ROUNDER,0,40000000,4,Retained,FALSE,FALSE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,719715,Washington Sundar,Washington Sundar,10/5/1999,ALL_ROUNDER,20000000,32000000,3.2,New,FALSE,FALSE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,914541,SE Rutherford,Sherfane Rutherford,8/15/1998,BATTER,15000000,26000000,2.6,New,FALSE,TRUE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,596010,G Coetzee,Gerald Coetzee,10/2/2000,BOWLER,12500000,24000000,2.4,New,FALSE,TRUE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,1048739,R Sai Kishore,Sai Kishore,11/6/1996,ALL_ROUNDER,7500000,20000000,2,RTM,FALSE,FALSE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,823509,GD Phillips,Glenn Phillips,12/6/1996,BATTER,20000000,20000000,2,New,FALSE,TRUE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,853265,MK Lomror,Mahipal Lomror,11/16/1999,ALL_ROUNDER,5000000,17000000,1.7,New,FALSE,FALSE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,1287033,Gurnoor Brar,Gurnoor Brar,5/25/2000,BOWLER,3000000,13000000,1.3,New,FALSE,FALSE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,1244751,Arshad Khan,Arshad Khan,12/20/1997,ALL_ROUNDER,3000000,13000000,1.3,New,FALSE,FALSE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,793467,Karim Janat,Karim Janat,8/11/1998,ALL_ROUNDER,7500000,7500000,0.75,New,FALSE,TRUE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,447587,J Yadav,Jayant Yadav,1/22/1990,ALL_ROUNDER,7500000,7500000,0.75,New,FALSE,FALSE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,236779,I Sharma,Ishant Sharma,9/2/1988,BOWLER,7500000,7500000,0.75,New,FALSE,FALSE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,1207295,K Kushagra,Kumar Kushagra,10/23/2004,BATTER,3000000,6500000,0.65,New,FALSE,FALSE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,1292506,N Sindhu,Nishant Sindhu,4/9/2004,ALL_ROUNDER,3000000,3000000,0.3,New,FALSE,FALSE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,1175426,MJ Suthar,Manav Suthar,8/3/2002,BOWLER,3000000,3000000,0.3,New,FALSE,FALSE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,1123073,Anuj Rawat,Anuj Rawat,10/17/1999,BATTER,3000000,3000000,0.3,New,FALSE,FALSE
Gujarat Titans,1198500000,1500000,25/25,8-Jul,1083033,K Khejroliya,Kulwant Khejroliya,3/13/1992,BOWLER,3000000,3000000,0.3,New,FALSE,FALSE
Kolkata Knight Riders,1199500000,500000,21/25,8-Aug,851403,VR Iyer,Venkatesh Iyer,12/25/1994,ALL_ROUNDER,20000000,237500000,23.75,New,FALSE,FALSE
Kolkata Knight Riders,1199500000,500000,21/25,8-Aug,723105,RK Singh,Rinku Singh,10/12/1997,BATTER,0,130000000,13,Retained,FALSE,FALSE
Kolkata Knight Riders,1199500000,500000,21/25,8-Aug,1108375,CV Varun,Varun Chakravarthy,8/29/1991,ALL_ROUNDER,0,120000000,12,Retained,FALSE,FALSE
Kolkata Knight Riders,1199500000,500000,21/25,8-Aug,276298,AD Russell,Andre Russell,4/29/1988,ALL_ROUNDER,0,120000000,12,Retained,FALSE,TRUE
Kolkata Knight Riders,1199500000,500000,21/25,8-Aug,230558,SP Narine,Sunil Narine,5/26/1988,BOWLER,0,120000000,12,Retained,FALSE,TRUE
Kolkata Knight Riders,1199500000,500000,21/25,8-Aug,481979,A Nortje,Anrich Nortje,11/16/1993,BOWLER,20000000,65000000,6.5,New,FALSE,TRUE
Kolkata Knight Riders,1199500000,500000,21/25,8-Aug,1312645,Harshit Rana,Harshit Rana,12/22/2001,BOWLER,0,40000000,4,Retained,FALSE,FALSE
Kolkata Knight Riders,1199500000,500000,21/25,8-Aug,1079470,Ramandeep Singh,Ramandeep Singh,4/13/1997,ALL_ROUNDER,0,40000000,4,Retained,FALSE,FALSE
Kolkata Knight Riders,1199500000,500000,21/25,8-Aug,379143,Q de Kock,Quinton de Kock,12/17/1992,BATTER,20000000,36000000,3.6,New,FALSE,TRUE
Kolkata Knight Riders,1199500000,500000,21/25,8-Aug,1292495,A Raghuvanshi,Angkrish Raghuvanshi,6/5/2004,BATTER,3000000,30000000,3,New,FALSE,FALSE
Kolkata Knight Riders,1199500000,500000,21/25,8-Aug,1123718,SH Johnson,Spencer Johnson,12/16/1995,BOWLER,20000000,28000000,2.8,New,FALSE,TRUE
Kolkata Knight Riders,1199500000,500000,21/25,8-Aug,974087,Rahmanullah Gurbaz,Rahmanullah Gurbaz,11/28/2001,BATTER,20000000,20000000,2,New,FALSE,TRUE
Kolkata Knight Riders,1199500000,500000,21/25,8-Aug,8917,MM Ali,Moeen Ali,6/18/1987,ALL_ROUNDER,20000000,20000000,2,New,FALSE,TRUE
Kolkata Knight Riders,1199500000,500000,21/25,8-Aug,1209292,VG Arora,Vaibhav Arora,12/14/1997,BOWLER,3000000,18000000,1.8,New,FALSE,FALSE
Kolkata Knight Riders,1199500000,500000,21/25,8-Aug,820351,R Powell,Rovman Powell,7/23/1993,BATTER,15000000,15000000,1.5,New,FALSE,TRUE
Kolkata Knight Riders,1199500000,500000,21/25,8-Aug,277916,AM Rahane,Ajinkya Rahane,6/6/1988,BATTER,15000000,15000000,1.5,New,FALSE,FALSE
Kolkata Knight Riders,1199500000,500000,21/25,8-Aug,1246528,Umran Malik,Umran Malik,11/22/1999,BOWLER,7500000,7500000,0.75,New,FALSE,FALSE
Kolkata Knight Riders,1199500000,500000,21/25,8-Aug,290630,MK Pandey,Manish Pandey,9/10/1989,BATTER,7500000,7500000,0.75,New,FALSE,FALSE
Kolkata Knight Riders,1199500000,500000,21/25,8-Aug,1079839,AS Roy,Anukul Roy,11/30/1998,ALL_ROUNDER,3000000,4000000,0.4,New,FALSE,FALSE
Kolkata Knight Riders,1199500000,500000,21/25,8-Aug,1155253,LS Sisodia,Luvnith Sisodia,1/15/2000,BATTER,3000000,3000000,0.3,New,FALSE,FALSE
Kolkata Knight Riders,1199500000,500000,21/25,8-Aug,1081442,M Markande,Mayank Markande,11/11/1997,BOWLER,3000000,3000000,0.3,New,FALSE,FALSE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,931581,RR Pant,Rishabh Pant,10/4/1997,BATTER,20000000,270000000,27,New,FALSE,FALSE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,604302,N Pooran,Nicholas Pooran,10/2/1995,BATTER,0,210000000,21,Retained,FALSE,TRUE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,1292563,MP Yadav,Mayank Yadav,6/17/2002,BOWLER,0,110000000,11,Retained,FALSE,FALSE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,1175441,Ravi Bishnoi,Ravi Bishnoi,9/5/2000,BOWLER,0,110000000,11,Retained,FALSE,FALSE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,694211,Avesh Khan,Avesh Khan,12/13/1996,BOWLER,20000000,97500000,9.75,New,FALSE,FALSE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,1176959,Akash Deep,Akash Deep,12/15/1996,BOWLER,10000000,80000000,8,New,FALSE,FALSE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,321777,DA Miller,David Miller,6/10/1989,BATTER,15000000,75000000,7.5,New,FALSE,TRUE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,1175485,Abdul Samad,Abdul Samad,10/28/2001,ALL_ROUNDER,3000000,42000000,4.2,New,FALSE,FALSE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,1151270,A Badoni,Ayush Badoni,12/3/1999,ALL_ROUNDER,0,40000000,4,Retained,FALSE,FALSE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,1132005,Mohsin Khan,Mohsin Khan,7/15/1998,BOWLER,0,40000000,4,Retained,FALSE,FALSE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,272450,MR Marsh,Mitchell Marsh,10/20/1991,ALL_ROUNDER,20000000,34000000,3.4,New,FALSE,TRUE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,1159711,Shahbaz Ahmed,Shahbaz Ahmed,12/11/1994,ALL_ROUNDER,10000000,24000000,2.4,New,FALSE,FALSE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,600498,AK Markram,Aiden Markram,10/4/1994,BATTER,20000000,20000000,2,New,FALSE,TRUE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,1356971,S Joseph,Shamar Joseph,8/31/1999,BOWLER,7500000,7500000,0.75,RTM,FALSE,TRUE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,1151286,M Siddharth,Manimaran Siddharth,7/3/1998,BOWLER,3000000,7500000,0.75,New,FALSE,FALSE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,595267,MP Breetzke,Matthew Breetzke,11/3/1998,BATTER,7500000,7500000,0.75,New,FALSE,TRUE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,1460529,DS Rathi,Digvesh Rathi,12/15/1999,BOWLER,3000000,3000000,0.3,New,FALSE,FALSE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,1403153,AA Kulkarni,Arshin Kulkarni,2/15/2005,ALL_ROUNDER,3000000,3000000,0.3,New,FALSE,FALSE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,1350768,Prince Yadav,Prince Yadav,12/12/2001,BOWLER,3000000,3000000,0.3,New,FALSE,FALSE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,1175463,Y Chaudhary,Yuvraj Chaudhary,10/6/2001,ALL_ROUNDER,3000000,3000000,0.3,New,FALSE,FALSE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,1175458,Akash Singh,Akash Singh,4/26/2002,BOWLER,3000000,3000000,0.3,New,FALSE,FALSE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,1175429,RS Hangargekar,Rajvardhan Hangargekar,11/10/2002,ALL_ROUNDER,3000000,3000000,0.3,New,FALSE,FALSE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,1130300,A Juyal,Aryan Juyal,11/11/2001,BATTER,3000000,3000000,0.3,New,FALSE,FALSE
Lucknow Super Giants,1199000000,1000000,24/25,8-Jun,805235,Himmat Singh,Himmat Singh,11/8/1996,BATTER,3000000,3000000,0.3,New,FALSE,FALSE
Mumbai Indians,1198000000,2000000,23/25,8-Aug,625383,JJ Bumrah,Jasprit Bumrah,12/6/1993,BOWLER,0,180000000,18,Retained,FALSE,FALSE
Mumbai Indians,1198000000,2000000,23/25,8-Aug,625371,HH Pandya,Hardik Pandya,10/11/1993,ALL_ROUNDER,0,163500000,16.35,Retained,FALSE,FALSE
Mumbai Indians,1198000000,2000000,23/25,8-Aug,446507,SA Yadav,Suryakumar Yadav,9/14/1990,BATTER,0,163500000,16.35,Retained,FALSE,FALSE
Mumbai Indians,1198000000,2000000,23/25,8-Aug,34102,RG Sharma,Rohit Sharma,4/30/1987,BATTER,0,163000000,16.3,Retained,FALSE,FALSE
Mumbai Indians,1198000000,2000000,23/25,8-Aug,277912,TA Boult,Trent Boult,7/22/1989,BOWLER,20000000,125000000,12.5,New,FALSE,TRUE
Mumbai Indians,1198000000,2000000,23/25,8-Aug,447261,DL Chahar,Deepak Chahar,8/7/1992,BOWLER,20000000,92500000,9.25,New,FALSE,FALSE
Mumbai Indians,1198000000,2000000,23/25,8-Aug,1170265,NT Tilak Varma,Tilak Varma,11/8/2002,ALL_ROUNDER,0,80000000,8,Retained,FALSE,FALSE
Mumbai Indians,1198000000,2000000,23/25,8-Aug,1287032,Naman Dhir,Naman Dhir,12/31/1999,ALL_ROUNDER,3000000,52500000,5.25,RTM,FALSE,FALSE
Mumbai Indians,1198000000,2000000,23/25,8-Aug,897549,WG Jacks,Will Jacks,11/21/1998,ALL_ROUNDER,20000000,52500000,5.25,New,FALSE,TRUE
Mumbai Indians,1198000000,2000000,23/25,8-Aug,1326798,AM Ghazanfar,AM Ghazanfar,3/20/2006,BOWLER,7500000,48000000,4.8,New,FALSE,TRUE
Mumbai Indians,1198000000,2000000,23/25,8-Aug,502714,MJ Santner,Mitchell Santner,2/5/1992,ALL_ROUNDER,20000000,20000000,2,New,FALSE,TRUE
Mumbai Indians,1198000000,2000000,23/25,8-Aug,605661,RD Rickelton,Ryan Rickelton,7/11/1996,BATTER,10000000,10000000,1,New,FALSE,TRUE
Mumbai Indians,1198000000,2000000,23/25,8-Aug,461632,RJW Topley,Reece Topley,2/21/1994,BOWLER,7500000,7500000,0.75,New,FALSE,TRUE
Mumbai Indians,1198000000,2000000,23/25,8-Aug,379887,LB Williams,Lizaad Williams,10/1/1993,BOWLER,7500000,7500000,0.75,New,FALSE,TRUE
Mumbai Indians,1198000000,2000000,23/25,8-Aug,1350762,R Minz,Robin Minz,9/13/2002,BATTER,3000000,6500000,0.65,New,FALSE,FALSE
Mumbai Indians,1198000000,2000000,23/25,8-Aug,30288,KV Sharma,Karn Sharma,10/23/1987,BOWLER,5000000,5000000,0.5,New,FALSE,FALSE
Mumbai Indians,1198000000,2000000,23/25,8-Aug,1460388,V Puthur,Vignesh Puthur,3/2/2001,ALL_ROUNDER,3000000,3000000,0.3,New,FALSE,FALSE
Mumbai Indians,1198000000,2000000,23/25,8-Aug,1410577,BJ Jacobs,Bevon Jacobs,5/6/2002,BATTER,3000000,3000000,0.3,New,FALSE,TRUE
Mumbai Indians,1198000000,2000000,23/25,8-Aug,1392201,PVSN Raju,Satyanarayana Raju,7/10/1999,BOWLER,3000000,3000000,0.3,New,FALSE,FALSE
Mumbai Indians,1198000000,2000000,23/25,8-Aug,1292502,RA Bawa,Raj Bawa,11/12/2002,ALL_ROUNDER,3000000,3000000,0.3,New,FALSE,FALSE
Mumbai Indians,1198000000,2000000,23/25,8-Aug,1209126,Ashwani Kumar,Ashwani Kumar,8/29/2001,BOWLER,3000000,3000000,0.3,New,FALSE,FALSE
Mumbai Indians,1198000000,2000000,23/25,8-Aug,1148776,AS Tendulkar,Arjun Tendulkar,9/24/1999,BOWLER,3000000,3000000,0.3,New,FALSE,FALSE
Mumbai Indians,1198000000,2000000,23/25,8-Aug,778241,KL Shrijith,Krishnan Shrijith,8/12/1996,BATTER,3000000,3000000,0.3,New,FALSE,FALSE
Punjab Kings,1196500000,3500000,25/25,8-Aug,642519,SS Iyer,Shreyas Iyer,12/6/1994,BATTER,20000000,267500000,26.75,New,FALSE,FALSE
Punjab Kings,1196500000,3500000,25/25,8-Aug,1125976,Arshdeep Singh,Arshdeep Singh,2/5/1999,BOWLER,20000000,180000000,18,RTM,FALSE,FALSE
Punjab Kings,1196500000,3500000,25/25,8-Aug,430246,YS Chahal,Yuzvendra Chahal,7/23/1990,BOWLER,20000000,180000000,18,New,FALSE,FALSE
Punjab Kings,1196500000,3500000,25/25,8-Aug,325012,MP Stoinis,Marcus Stoinis,8/16/1989,ALL_ROUNDER,20000000,110000000,11,New,FALSE,TRUE
Punjab Kings,1196500000,3500000,25/25,8-Aug,696401,M Jansen,Marco Jansen,5/1/2000,ALL_ROUNDER,12500000,70000000,7,New,FALSE,TRUE
Punjab Kings,1196500000,3500000,25/25,8-Aug,377534,Shashank Singh,Shashank Singh,11/21/1991,ALL_ROUNDER,0,55000000,5.5,Retained,FALSE,FALSE
Punjab Kings,1196500000,3500000,25/25,8-Aug,1151273,N Wadhera,Nehal Wadhera,9/4/2000,BATTER,3000000,42000000,4.2,New,FALSE,FALSE
Punjab Kings,1196500000,3500000,25/25,8-Aug,325026,GJ Maxwell,Glenn Maxwell,10/14/1988,ALL_ROUNDER,20000000,42000000,4.2,New,FALSE,TRUE
Punjab Kings,1196500000,3500000,25/25,8-Aug,1161024,Prabhsimran Singh,Prabhsimran Singh,8/10/2000,BATTER,0,40000000,4,Retained,FALSE,FALSE
Punjab Kings,1196500000,3500000,25/25,8-Aug,1175456,P Arya,Priyansh Arya,9/18/2001,ALL_ROUNDER,3000000,38000000,3.8,New,FALSE,FALSE
Punjab Kings,1196500000,3500000,25/25,8-Aug,662235,JP Inglis,Josh Inglis,3/4/1995,BATTER,20000000,26000000,2.6,New,FALSE,TRUE
Punjab Kings,1196500000,3500000,25/25,8-Aug,819429,Azmatullah Omarzai,Azmatullah Omarzai,3/24/2000,ALL_ROUNDER,15000000,24000000,2.4,New,FALSE,TRUE
Punjab Kings,1196500000,3500000,25/25,8-Aug,493773,LH Ferguson,Lockie Ferguson,6/13/1991,BOWLER,20000000,20000000,2,New,FALSE,TRUE
Punjab Kings,1196500000,3500000,25/25,8-Aug,777815,V Vyshak,Vijaykumar Vyshak,1/31/1997,BOWLER,3000000,18000000,1.8,New,FALSE,FALSE
Punjab Kings,1196500000,3500000,25/25,8-Aug,1070196,Yash Thakur,Yash Thakur,12/28/1998,BOWLER,4000000,16000000,1.6,New,FALSE,FALSE
Punjab Kings,1196500000,3500000,25/25,8-Aug,1168641,Harpreet Brar,Harpreet Brar,9/16/1995,ALL_ROUNDER,3000000,15000000,1.5,New,FALSE,FALSE
Punjab Kings,1196500000,3500000,25/25,8-Aug,1124283,AM Hardie,Aaron Hardie,1/7/1999,ALL_ROUNDER,12500000,12500000,1.25,New,FALSE,TRUE
