year,player_id,player_name,team,sold_price,sold_price_in_cr,sold_price_in_usd,base_price,base_price_in_cr,base_price_in_usd,purse_spent,purse_spent_in_cr,purse_left,purse_left_in_cr,status,transferred,overseas,auction_result,id_source,prior_season,player_name_stats,birthdate,age,nationality,player_role,batting_style,bowling_style,international_career,tournament,team_stats,matches,innings,no,runs,highestscore,batting_average,bf,strikerate,100s,50s,4s,6s,Ct,St,wickets,economy,balls,bbi,bbm,bowl_ave,sr,4w,5w,10w,t20_start,t20_end,odi_start,odi_end,bbi_wkts,bbi_runs,bbm_wkts,bbm_runs,has_prior_season,is_mega_auction,int_value,is_capped,age_during_auction,overseas2
2008,33335.0,Suresh Raina,Chennai Super Kings,26000000.0,2.6,650000.0,5000000.0,0.5,125000.0,,,,,,,,sold,from auction file,2007,,1986-11-27,,India,Middle order Batter,Left hand Bat,Right arm Offbreak,2005 - 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-12-01,2018-07-08,2005-07-30,2018-07-17,,,,,False,True,2005,True,22.0,False
2008,5390.0,Adam Gilchrist,Deccan Chargers,28000000.0,2.8,700000.0,12000000.0,1.2,300000.0,,,,,,,,sold,from auction file,2007,,1971-11-14,,Australia,Wicketkeeper Batter,Left hand Bat,Right arm Offbreak,1996 - 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-17,2008-02-01,1996-10-25,2008-03-04,,,,,False,True,1996,True,37.0,True
2008,7702.0,Andrew Symonds,Deccan Chargers,54000000.0,5.4,1350000.0,10000000.0,1.0,250000.0,,,,,,,,sold,from auction file,2007,,1975-06-09,,Australia,Allrounder,Right hand Bat,"Right arm Medium, Right arm Offbreak",1998 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-17,2009-05-07,1998-11-10,2009-05-03,,,,,False,True,1998,True,33.0,True
2008,50431.0,Chamara Silva,Deccan Chargers,4000000.0,0.4,100000.0,4000000.0,0.4,100000.0,,,,,,,,sold,from auction file,2007,,1979-12-14,,Sri Lanka,Batter,Right hand Bat,Legbreak,1999 - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-12-22,2011-11-25,1999-08-26,2011-11-23,,,,,False,True,1999,True,29.0,True
2008,50804.0,Chaminda Vaas,Deccan Chargers,8000000.0,0.8,200000.0,8000000.0,0.8,200000.0,,,,,,,,sold,from auction file,2007,,1974-01-27,,Sri Lanka,Bowler,Left hand Bat,Left arm Fast medium,1994 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-12-22,2007-09-20,1994-02-15,2008-08-27,,,,,False,True,1994,True,34.0,True
2008,45224.0,Herschelle Gibbs,Deccan Chargers,23000000.0,2.3,575000.0,10000000.0,1.0,250000.0,,,,,,,,sold,from auction file,2007,,1974-02-23,,South Africa,Opening Batter,Right hand Bat,Right arm Bowler,1996 - 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-10-21,2010-05-10,1996-10-03,2010-02-27,,,,,False,True,1996,True,34.0,True
2008,51050.0,Nuwan Zoysa,Deccan Chargers,4400000.0,0.44,110000.0,4000000.0,0.4,100000.0,,,,,,,,sold,from auction file,2007,,1978-05-13,,Sri Lanka,Bowler,Left hand Bat,Left arm Fast medium,1997 - 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-03-25,2007-02-08,,,,,False,True,1997,True,30.0,True
2008,35280.0,R P Singh,Deccan Chargers,35000000.0,3.5,875000.0,8000000.0,0.8,200000.0,,,,,,,,sold,from auction file,2007,,1985-12-06,,India,Bowler,Right hand Bat,Left arm Fast medium,2005 - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-09-13,2009-06-16,2005-09-04,2011-09-16,,,,,False,True,2005,True,23.0,False
2008,34102.0,Rohit Sharma,Deccan Chargers,30000000.0,3.0,750000.0,6000000.0,0.6,150000.0,,,,,,,,sold,from auction file,2007,,1987-04-30,,India,Top order Batter,Right hand Bat,Right arm Offbreak,2007 - 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-09-19,2024-06-29,2007-06-23,2026-06-20,,,,,False,True,2007,True,21.0,False
2008,38407.0,Scott Styris,Deccan Chargers,7000000.0,0.7,175000.0,7000000.0,0.7,175000.0,,,,,,,,sold,from auction file,2007,,1975-07-10,,New Zealand,Allrounder,Right hand Bat,Right arm Medium,1999 - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-17,2010-12-30,1999-11-05,2011-03-29,,,,,False,True,1999,True,33.0,True
2008,42639.0,Shahid Afridi,Deccan Chargers,27000000.0,2.7,675000.0,9000000.0,0.9,225000.0,,,,,,,,sold,from auction file,2007,,1980-03-01,,Pakistan,Allrounder,Right hand Bat,Legbreak Googly,1996 - 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-08-28,2018-05-31,1996-10-02,2015-03-20,,,,,False,True,1996,True,28.0,True
2008,30750.0,VVS Laxman,Deccan Chargers,15000000.0,1.5,375000.0,6000000.0,0.6,150000.0,,,,,,,,sold,from auction file,2007,,1974-11-01,,India,Top order Batter,Right hand Bat,Right arm Offbreak,1996 - 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-04-09,2006-12-03,,,,,False,True,1996,True,34.0,False
2008,44936.0,AB de Villiers,Delhi Capitals,12000000.0,1.2,300000.0,8000000.0,0.8,200000.0,,,,,,,,sold,from auction file,2007,,1984-02-17,,South Africa,Wicketkeeper Batter,Right hand Bat,Right arm Medium,2004 - 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-24,2017-10-29,2005-02-02,2018-02-16,,,,,False,True,2004,True,24.0,True
2008,38710.0,Daniel Vettori,Delhi Capitals,25000000.0,2.5,625000.0,10000000.0,1.0,250000.0,,,,,,,,sold,from auction file,2007,,1979-01-27,,New Zealand,Allrounder,Left hand Bat,Slow Left arm Orthodox,1997 - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-09-12,2014-12-05,1997-03-25,2015-03-29,,,,,False,True,1997,True,29.0,True
2008,30045.0,Dinesh Karthik,Delhi Capitals,21000000.0,2.1,525000.0,8000000.0,0.8,200000.0,,,,,,,,sold,from auction file,2007,,1985-06-01,,India,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak,2004 - 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-12-01,2022-11-02,2004-09-05,2019-07-09,,,,,False,True,2004,True,23.0,False
2008,49638.0,Farveez Maharoof,Delhi Capitals,9000000.0,0.9,225000.0,6000000.0,0.6,150000.0,,,,,,,,sold,from auction file,2007,,1984-09-07,,Sri Lanka,Allrounder,Right hand Bat,Right arm Fast medium,2004 - 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-06-15,2016-07-05,2004-04-25,2016-06-29,,,,,False,True,2004,True,24.0,True
2008,28763.0,Gautam Gambhir,Delhi Capitals,29000000.0,2.9,725000.0,8800000.0,0.88,220000.0,,,,,,,,sold,from auction file,2007,,1981-10-14,,India,Top order Batter,Left hand Bat,Legbreak,2003 - 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-09-13,2012-12-28,2003-04-11,2013-01-27,,,,,False,True,2003,True,27.0,False
2008,6565.0,Glenn McGrath,Delhi Capitals,14000000.0,1.4,350000.0,14000000.0,1.4,350000.0,,,,,,,,sold,from auction file,2007,,1970-02-09,,Australia,Bowler,Right hand Bat,Right arm Fast medium,1993 - 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-17,2005-06-13,1993-12-09,2007-04-28,,,,,False,True,1993,True,38.0,True
2008,35565.0,Manoj Tiwary,Delhi Capitals,27000000.0,2.7,675000.0,4000000.0,0.4,100000.0,,,,,,,,sold,from auction file,2007,,1985-11-14,,India,Batter,Right hand Bat,Legbreak Googly,2008 - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-10-29,2012-09-11,2008-02-03,2015-07-14,,,,,False,True,2008,True,23.0,False
2008,41411.0,Mohammad Asif,Delhi Capitals,26000000.0,2.6,650000.0,9000000.0,0.9,225000.0,,,,,,,,sold,from auction file,2007,,1982-12-20,,Pakistan,Bowler,Left hand Bat,Right arm Fast medium,2005 - 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-08-28,2010-05-06,2005-12-21,2010-06-21,,,,,False,True,2005,True,26.0,True
2008,42657.0,Shoaib Malik,Delhi Capitals,20000000.0,2.0,500000.0,12000000.0,1.2,300000.0,,,,,,,,sold,from auction file,2007,,1982-02-01,,Pakistan,Allrounder,Right hand Bat,Right arm Offbreak,1999 - 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-08-28,2021-11-20,1999-10-14,2019-06-16,,,,,False,True,1999,True,26.0,True
2008,48472.0,Tillakaratne Dilshan,Delhi Capitals,10000000.0,1.0,250000.0,6080000.0,0.608,152000.0,,,,,,,,sold,from auction file,2007,,1976-10-14,,Sri Lanka,Allrounder,Right hand Bat,Right arm Offbreak,1999 - 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-06-15,2016-09-09,1999-12-11,2016-08-28,,,,,False,True,1999,True,32.0,True
2008,6278.0,Brett Lee,Punjab Kings,36000000.0,3.6,900000.0,12000000.0,1.2,300000.0,,,,,,,,sold,from auction file,2007,,1976-11-08,,Australia,Bowler,Right hand Bat,Right arm Fast,1999 - 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-17,2012-03-30,2000-01-09,2012-07-07,,,,,False,True,1999,True,32.0,True
2008,32685.0,Irfan Pathan,Punjab Kings,37000000.0,3.7,925000.0,8000000.0,0.8,200000.0,,,,,,,,sold,from auction file,2007,,1984-10-27,,India,Allrounder,Left hand Bat,Left arm Medium fast,2003 - 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-12-01,2012-10-02,2004-01-09,2012-08-04,,,,,False,True,2003,True,24.0,False
2008,50710.0,Kumar Sangakkara,Punjab Kings,28000000.0,2.8,700000.0,10000000.0,1.0,250000.0,,,,,,,,sold,from auction file,2007,,1977-10-27,,Sri Lanka,Wicketkeeper Batter,Left hand Bat,Right arm Offbreak,2000 - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-06-15,2014-04-06,2000-07-05,2015-03-18,,,,,False,True,2000,True,31.0,True
2008,49289.0,Mahela Jayawardene,Punjab Kings,19000000.0,1.9,475000.0,10000000.0,1.0,250000.0,,,,,,,,sold,from auction file,2007,,1977-05-27,,Sri Lanka,Batter,Right hand Bat,Right arm Medium,1997 - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-06-15,2014-04-06,1998-01-24,2015-03-18,,,,,False,True,1997,True,31.0,True
2008,32966.0,Piyush Chawla,Punjab Kings,16000000.0,1.6,400000.0,5000000.0,0.5,125000.0,,,,,,,,sold,from auction file,2007,,1988-12-24,,India,Bowling Allrounder,Left hand Bat,Legbreak,2006 - 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-05-02,2012-12-22,2007-05-12,2011-03-09,,,,,False,True,2006,True,20.0,False
2008,32391.0,Ramesh Powar,Punjab Kings,6800000.0,0.68,170000.0,6000000.0,0.6,150000.0,,,,,,,,sold,from auction file,2007,,1978-05-20,,India,Bowler,Right hand Bat,Right arm Offbreak,2004 - 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-03-16,2007-10-02,,,,,False,True,2004,True,30.0,False
2008,52969.0,Ramnaresh Sarwan,Punjab Kings,9000000.0,0.9,225000.0,9000000.0,0.9,225000.0,,,,,,,,sold,from auction file,2007,,1980-06-23,,West Indies,Batter,Right hand Bat,Legbreak,2000 - 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-09-11,2010-05-20,2000-07-20,2013-06-11,,,,,False,True,2000,True,28.0,True
2008,6128.0,Simon Katich,Punjab Kings,8000000.0,0.8,200000.0,8000000.0,0.8,200000.0,,,,,,,,sold,from auction file,2007,,1975-08-21,,Australia,Batter,Left hand Bat,Left arm Wrist spin,2001 - 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-17,2006-02-24,2001-01-21,2006-09-24,,,,,False,True,2001,True,33.0,True
2008,34274.0,Sreesanth,Punjab Kings,25000000.0,2.5,625000.0,8000000.0,0.8,200000.0,,,,,,,,sold,from auction file,2007,,1983-02-06,,India,Bowler,Right hand Bat,Right arm Fast medium,2005 - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-12-01,2008-02-01,2005-10-25,2011-04-02,,,,,False,True,2005,True,25.0,False
2008,26184.0,Ajit Agarkar,Kolkata Knight Riders,14000000.0,1.4,350000.0,8000000.0,0.8,200000.0,,,,,,,,sold,from auction file,2007,,1977-12-04,,India,Bowler,Right hand Bat,Right arm Fast,1998 - 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-12-01,2007-09-16,1998-04-01,2007-09-05,,,,,False,True,1998,True,31.0,False
2008,37737.0,Brendon McCullum,Kolkata Knight Riders,28000000.0,2.8,700000.0,7000000.0,0.7,175000.0,,,,,,,,sold,from auction file,2007,,1981-09-27,,New Zealand,Wicketkeeper Batter,Right hand Bat,"Right arm Medium, Right arm Offbreak",2002 - 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-17,2015-06-23,2002-01-17,2016-02-08,,,,,False,True,2002,True,27.0,True
2008,51880.0,Chris Gayle,Kolkata Knight Riders,32000000.0,3.2,800000.0,10000000.0,1.0,250000.0,,,,,,,,sold,from auction file,2007,,1979-09-21,,West Indies,Allrounder,Left hand Bat,Right arm Offbreak,1999 - 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-16,2021-11-06,1999-09-11,2019-08-14,,,,,False,True,1999,True,29.0,True
2008,5766.0,David Hussey,Kolkata Knight Riders,25000000.0,2.5,625000.0,4000000.0,0.4,100000.0,,,,,,,,sold,from auction file,2007,,1977-07-15,,Australia,Allrounder,Right hand Bat,Right arm Offbreak,2008 - 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-02-01,2012-10-05,2008-07-04,2013-01-23,,,,,False,True,2008,True,31.0,True
2008,236779.0,Ishant Sharma,Kolkata Knight Riders,38000000.0,3.8,950000.0,6000000.0,0.6,150000.0,,,,,,,,sold,from auction file,2007,,1988-09-02,,India,Bowler,Right hand Bat,Right arm Fast medium,2007 - 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-02-01,2013-10-10,2007-06-29,2016-01-23,,,,,False,True,2007,True,20.0,False
2008,30049.0,Murali Kartik,Kolkata Knight Riders,17000000.0,1.7,425000.0,8000000.0,0.8,200000.0,,,,,,,,sold,from auction file,2007,,1976-09-11,,India,Bowler,Left hand Bat,Slow Left arm Orthodox,2000 - 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-02-24,2004-11-20,2002-03-16,2007-11-18,,,,,False,True,2000,True,32.0,False
2008,7133.0,Ricky Ponting,Kolkata Knight Riders,16000000.0,1.6,400000.0,13400000.0,1.34,335000.0,,,,,,,,sold,from auction file,2007,,1974-12-19,,Australia,Top order Batter,Right hand Bat,Right arm Medium,1995 - 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-17,2009-06-08,1995-02-15,2012-02-19,,,,,False,True,1995,True,34.0,True
2008,42655.0,Shoaib Akhtar,Kolkata Knight Riders,17000000.0,1.7,425000.0,10000000.0,1.0,250000.0,,,,,,,,sold,from auction file,2007,,1975-08-13,,Pakistan,Bowler,Right hand Bat,Right arm Fast,1997 - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-08-28,2010-12-28,1998-03-28,2011-03-08,,,,,False,True,1997,True,33.0,True
2008,55805.0,Tatenda Taibu,Kolkata Knight Riders,5000000.0,0.5,125000.0,5000000.0,0.5,125000.0,,,,,,,,sold,from auction file,2007,,1983-05-14,,Zimbabwe,Wicketkeeper Batter,Right hand Bat,Right arm Medium,2001 - 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-09-12,2012-02-14,2001-06-23,2012-02-09,,,,,False,True,2001,True,25.0,True
2008,43524.0,Umar Gul,Kolkata Knight Riders,6000000.0,0.6,150000.0,6000000.0,0.6,150000.0,,,,,,,,sold,from auction file,2007,,1982-10-15,,Pakistan,Bowler,Right hand Bat,Right arm Fast medium,2003 - 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-09-04,2016-01-17,2003-04-03,2016-09-04,,,,,False,True,2003,True,26.0,True
2008,48835.0,Dilhara Fernando,Mumbai Indians,6000000.0,0.6,150000.0,6000000.0,0.6,150000.0,,,,,,,,sold,from auction file,2007,,1979-07-19,,Sri Lanka,Bowler,Right hand Bat,Right arm Fast medium,2000 - 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-06-15,2016-02-14,2001-01-09,2012-01-11,,,,,False,True,2000,True,29.0,True
2008,29264.0,Harbhajan Singh,Mumbai Indians,34000000.0,3.4,850000.0,10000000.0,1.0,250000.0,,,,,,,,sold,from auction file,2007,,1980-07-03,,India,Bowler,Right hand Bat,Right arm Offbreak,1998 - 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-12-01,2016-03-03,1998-04-17,2015-10-25,,,,,False,True,1998,True,28.0,False
2008,49758.0,Lasith Malinga,Mumbai Indians,14000000.0,1.4,350000.0,8000000.0,0.8,200000.0,,,,,,,,sold,from auction file,2007,,1983-08-28,,Sri Lanka,Bowler,Right hand Bat,Right arm Fast,2004 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-06-15,2020-03-06,2004-07-17,2019-07-26,,,,,False,True,2004,True,25.0,True
2008,44098.0,Loots Bosman,Mumbai Indians,7000000.0,0.7,175000.0,6000000.0,0.6,150000.0,,,,,,,,sold,from auction file,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,False,,
2008,35582.0,Robin Uthappa,Mumbai Indians,32000000.0,3.2,800000.0,8000000.0,0.8,200000.0,,,,,,,,sold,from auction file,2007,,1985-11-11,,India,Batter,Right hand Bat,Right arm Medium,2006 - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-09-13,2015-07-19,2006-04-15,2015-07-14,,,,,False,True,2006,True,23.0,False
2008,49209.0,Sanath Jayasuriya,Mumbai Indians,39000000.0,3.9,975000.0,10000000.0,1.0,250000.0,,,,,,,,sold,from auction file,2007,,1969-06-30,,Sri Lanka,Allrounder,Left hand Bat,Slow Left arm Orthodox,1989 - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-06-15,2011-06-25,1989-12-26,2011-06-28,,,,,False,True,1989,True,39.0,True
2008,46774.0,Shaun Pollock,Mumbai Indians,22000000.0,2.2,550000.0,8000000.0,0.8,200000.0,,,,,,,,sold,from auction file,2007,,1973-07-16,,South Africa,Allrounder,Right hand Bat,Right arm Fast medium,1995 - 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-10-21,2008-01-18,1996-01-09,2008-02-03,,,,,False,True,1995,True,35.0,True
2008,47270.0,Graeme Smith,Rajasthan Royals,10000000.0,1.0,250000.0,10000000.0,1.0,250000.0,,,,,,,,sold,from auction file,2007,,1981-02-01,,South Africa,Opening Batter,Left hand Bat,Right arm Offbreak,2002 - 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-10-21,2011-10-16,2002-03-30,2013-11-27,,,,,False,True,2002,True,27.0,True
2008,6256.0,Justin Langer,Rajasthan Royals,8000000.0,0.8,200000.0,8000000.0,0.8,200000.0,,,,,,,,sold,from auction file,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,False,,
2008,41028.0,Kamran Akmal,Rajasthan Royals,6000000.0,0.6,150000.0,6000000.0,0.6,150000.0,,,,,,,,sold,from auction file,2007,,1982-01-13,,Pakistan,Wicketkeeper Batter,Right hand Bat,,2002 - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-08-28,2017-04-02,2002-11-23,2017-04-11,,,,,False,True,2002,True,26.0,True
2008,29990.0,Mohammad Kaif,Rajasthan Royals,27000000.0,2.7,675000.0,5000000.0,0.5,125000.0,,,,,,,,sold,from auction file,2007,,1980-12-01,,India,Batter,Right hand Bat,Right arm Offbreak,2000 - 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-01-28,2006-11-29,,,,,False,True,2000,True,28.0,False
2008,32965.0,Munaf Patel,Rajasthan Royals,11000000.0,1.1,275000.0,4000000.0,0.4,100000.0,,,,,,,,sold,from auction file,2007,,1983-07-12,,India,Bowler,Right hand Bat,Right arm Medium fast,2006 - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-09,2011-08-31,2006-04-03,2011-09-16,,,,,False,True,2006,True,25.0,False
2008,8166.0,Shane Warne,Rajasthan Royals,18000000.0,1.8,450000.0,18000000.0,1.8,450000.0,,,,,,,,sold,from auction file,2007,,1969-09-13,,Australia,Bowler,Right hand Bat,Legbreak Googly,1992 - 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993-03-24,2005-01-10,,,,,False,True,1992,True,39.0,True
2008,43652.0,Younis Khan,Rajasthan Royals,9000000.0,0.9,225000.0,9000000.0,0.9,225000.0,,,,,,,,sold,from auction file,2007,,1977-11-29,,Pakistan,Middle order Batter,Right hand Bat,"Right arm Medium, Legbreak",2000 - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-08-28,2010-12-30,2000-02-13,2015-11-11,,,,,False,True,2000,True,31.0,True
2008,32498.0,Yusuf Pathan,Rajasthan Royals,19000000.0,1.9,475000.0,4000000.0,0.4,100000.0,,,,,,,,sold,from auction file,2007,,1982-11-17,,India,Allrounder,Right hand Bat,Right arm Offbreak,2007 - 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-09-24,2012-03-30,2008-06-10,2012-03-18,,,,,False,True,2007,True,26.0,False
2008,30176.0,Anil Kumble,Royal Challengers Bengaluru,20000000.0,2.0,500000.0,10000000.0,1.0,250000.0,,,,,,,,sold,from auction file,2007,,1970-10-17,,India,Bowler,Right hand Bat,Legbreak Googly,1990 - 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-04-25,2007-03-19,,,,,False,True,1990,True,38.0,False
2008,8291.0,Cameron White,Royal Challengers Bengaluru,20000000.0,2.0,500000.0,4000000.0,0.4,100000.0,,,,,,,,sold,from auction file,2007,,1983-08-18,,Australia,Middle order Batter,Right hand Bat,Legbreak Googly,2005 - 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-01-09,2014-11-09,2005-10-05,2018-01-26,,,,,False,True,2005,True,25.0,True
2008,47492.0,Dale Steyn,Royal Challengers Bengaluru,13000000.0,1.3,325000.0,6000000.0,0.6,150000.0,,,,,,,,sold,from auction file,2007,,1983-06-27,,South Africa,Bowler,Right hand Bat,Right arm Fast,2004 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-11-23,2020-02-21,2005-08-17,2019-03-13,,,,,False,True,2004,True,25.0,True
